date,symbol,sales
12/31/2012,AAPL,76.02428443
1/2/2013,AAPL,78.43285371
1/3/2013,AAPL,77.44285586
1/4/2013,AAPL,75.28571314
1/7/2013,AAPL,74.84285743
1/8/2013,AAPL,75.04428857
1/9/2013,AAPL,73.87142943
1/10/2013,AAPL,74.78713986
1/11/2013,AAPL,74.32857514
1/14/2013,AAPL,71.67857357
1/15/2013,AAPL,69.41714471
1/16/2013,AAPL,72.29856871
1/17/2013,AAPL,71.81143186
1/18/2013,AAPL,71.42857357
1/22/2013,AAPL,72.11000057
1/23/2013,AAPL,73.43000029
1/24/2013,AAPL,64.35713957
1/25/2013,AAPL,62.84000014
1/28/2013,AAPL,64.26142886
1/29/2013,AAPL,65.46714014
1/30/2013,AAPL,65.26142886
1/31/2013,AAPL,65.06999971
2/1/2013,AAPL,64.80285643
2/4/2013,AAPL,63.188572
2/5/2013,AAPL,65.405716
2/6/2013,AAPL,65.33571629
2/7/2013,AAPL,66.88857271
2/8/2013,AAPL,67.85428614
